,Predictions,open,close,high,low,volume,Symbol,Days,Price,Strike,Vol,Call,Put,Call Delta,Put Delta,Prediciton Date
2018-11-05,sell,1.1915,1.1929,1.1955,1.1883,2296,WE1X8,2.0,1.14555,1.145,0.114911224,0.004,0.0034,0.525350898,0.0,2018-11-05
2018-11-06,sell,1.1931,1.1987,1.2002,1.1922,4050,EUUX8,3.0,1.14485,1.145,0.121055893,0.0048,0.0049,0.497066157,0.0,2018-11-06
2018-11-07,sell,1.1987,1.195,1.2036,1.1949,3866,EUUX8,2.0,1.14905,1.15,0.096688149,0.0027,0.0036,0.452850307,0.0,2018-11-07
2018-11-13,sell,1.1767,1.181,1.1845,1.1746,4679,EU3X8,3.0,1.1298,1.13,0.113614087,0.0044,0.0046,0.494785575,0.0,2018-11-13
2018-11-20,sell,1.1962,1.1893,1.1989,1.1875,3649,EU4X8,3.0,1.13905,1.14,0.087397265,0.003,0.0039,0.457247465,0.0,2018-11-20
2018-11-26,sell,1.1858,1.1849,1.1896,1.1836,2340,WE4X8,2.0,1.1347,1.135,0.079771297,0.0024,0.0027,0.482223286,0.0,2018-11-26
2018-11-28,sell,1.1807,1.1894,1.1899,1.1779,5122,EU5X8,2.0,1.1392,1.14,0.093286252,0.0026,0.0034,0.458398988,0.0,2018-11-28
2018-12-03,sell,1.1856,1.1884,1.1887,1.1825,2796,WE1Z8,2.0,1.13545,1.135,0.074928102,0.0026,0.0022,0.531005126,0.0,2018-12-03
2018-12-04,sell,1.1881,1.1829,1.1925,1.1824,3878,EUUZ8,3.0,1.1353,1.135,0.091710196,0.0038,0.0035,0.514621514,0.0,2018-12-04
2018-12-05,sell,1.1832,1.1849,1.1866,1.1815,2675,EUUZ8,2.0,1.1351,1.135,0.089435443,0.0029,0.0028,0.506796431,0.0,2018-12-05
2018-12-10,sell,1.1929,1.1868,1.194,1.1851,2575,WE2Z8,2.0,1.1453,1.145,0.097680343,0.0033,0.003,0.516538286,0.0,2018-12-10
2018-12-17,sell,1.1801,1.1840000000000002,1.1851,1.1798,2400,WE3Z8,2.0,1.1442,1.145,0.108219081,0.0031,0.0039,0.46480071,0.0,2018-12-17
2018-12-18,sell,1.1837,1.1871,1.1892,1.1828,3116,EU3Z8,3.0,1.1446,1.145,0.119526207,0.0046,0.005,0.488675634,0.0,2018-12-18
2018-12-24,sell,1.1872,1.19,1.192,1.1856,1677,EU4Z8,4.0,1.14925,1.15,0.075448954,0.0032,0.0039,0.467619546,0.0,2018-12-24
2019-01-07,sell,1.1887,1.1906,1.1951,1.1878,3033,WE2F9,2.0,1.15465,1.155,0.086309813,0.0026,0.003,0.476230951,0.0,2019-01-07
2019-01-08,sell,1.1906,1.1925,1.1936,1.1888,3022,EU2F9,3.0,1.1508,1.15,0.083981315,0.0038,0.003,0.539018071,0.0,2019-01-08
2019-01-09,buy,1.1926,1.2022,1.2032,1.1903,6185,EU2F9,2.0,1.16095,1.16,0.105426973,0.0038,0.0029,0.0,-0.452953022,2019-01-09
