,Call,Call Delta,Days,Prediciton Date,Predictions,Price,Put,Put Delta,SL,Strike,Symbol,TP,Vol,close,high,low,open,p_ap_op,p_c_op,pips,result,volume
2018-11-05,0.004,0.525350898,2.0,2018-11-05,sell,1.14555,0.0034,0.0,1.1925,1.145,WE1X8,1.1905,0.114911224,1.1929,1.1955,1.1883,1.1915,1.1915,1.1929,-0.0009999999999998899,SL,2296.0
2018-11-06,0.0048,0.497066157,3.0,2018-11-06,sell,1.14485,0.0049,0.0,1.1941,1.145,EUUX8,1.1921,0.121055893,1.1987,1.2002,1.1922,1.1931,1.1931,1.1987,-0.0009999999999998899,SL,4050.0
2018-11-07,0.0027,0.452850307,2.0,2018-11-07,sell,1.14905,0.0036,0.0,1.1997,1.15,EUUX8,1.1977,0.096688149,1.195,1.2036,1.1949,1.1987,1.1987,1.195,0.001000000000000112,TP,3866.0
2018-11-13,0.0044,0.494785575,3.0,2018-11-13,sell,1.1298,0.0046,0.0,1.1777,1.13,EU3X8,1.1757,0.113614087,1.181,1.1845,1.1746,1.1767,1.1767,1.181,-0.0009999999999998899,SL,4679.0
2018-11-20,0.003,0.457247465,3.0,2018-11-20,sell,1.13905,0.0039,0.0,1.1972,1.14,EU4X8,1.1952,0.087397265,1.1893,1.1989,1.1875,1.1962,1.1962,1.1893,-0.001000000000000112,SL,3649.0
2018-11-26,0.0024,0.482223286,2.0,2018-11-26,sell,1.1347,0.0027,0.0,1.1868,1.135,WE4X8,1.1848,0.079771297,1.1849,1.1896,1.1836,1.1858,1.1858,1.1849,-0.001000000000000112,SL,2340.0
2018-11-28,0.0026,0.458398988,2.0,2018-11-28,sell,1.1392,0.0034,0.0,1.1817,1.14,EU5X8,1.1797,0.093286252,1.1894,1.1899,1.1779,1.1807,1.1807,1.1894,0.001000000000000112,TP,5122.0
2018-12-03,0.0026,0.531005126,2.0,2018-12-03,sell,1.13545,0.0022,0.0,1.1866,1.135,WE1Z8,1.1846,0.074928102,1.1884,1.1887,1.1825,1.1856,1.1856,1.1884,-0.001000000000000112,SL,2796.0
2018-12-04,0.0038,0.514621514,3.0,2018-12-04,sell,1.1353,0.0035,0.0,1.1891,1.135,EUUZ8,1.1871,0.091710196,1.1829,1.1925,1.1824,1.1881,1.1881,1.1829,-0.001000000000000112,SL,3878.0
2018-12-05,0.0029,0.506796431,2.0,2018-12-05,sell,1.1351,0.0028,0.0,1.1842,1.135,EUUZ8,1.1822,0.089435443,1.1849,1.1866,1.1815,1.1832,1.1832,1.1849,0.001000000000000112,TP,2675.0
2018-12-10,0.0033,0.516538286,2.0,2018-12-10,sell,1.1453,0.003,0.0,1.1939,1.145,WE2Z8,1.1919,0.097680343,1.1868,1.194,1.1851,1.1929,1.1929,1.1868,-0.0009999999999998899,SL,2575.0
2018-12-17,0.0031,0.46480071,2.0,2018-12-17,sell,1.1442,0.0039,0.0,1.1811,1.145,WE3Z8,1.1791,0.108219081,1.1840000000000002,1.1851,1.1798,1.1801,1.1801,1.1840000000000002,-0.001000000000000112,SL,2400.0
2018-12-18,0.0046,0.488675634,3.0,2018-12-18,sell,1.1446,0.005,0.0,1.1847,1.145,EU3Z8,1.1827,0.119526207,1.1871,1.1892,1.1828,1.1837,1.1837,1.1871,-0.001000000000000112,SL,3116.0
2018-12-24,0.0032,0.467619546,4.0,2018-12-24,sell,1.14925,0.0039,0.0,1.1882,1.15,EU4Z8,1.1862,0.075448954,1.19,1.192,1.1856,1.1872,1.1872,1.19,0.001000000000000112,TP,1677.0
