,Predictions,open,close,high,low,volume,Symbol,Days,Price,Strike,Vol,Call,Put,Call Delta,Put Delta
2019-06-11,sell,1.1634,1.1652,1.1657,1.1621,3176,EUUM0,360.0,1.1644,1.16,0.061632639,0.03,0.0257,0.526220592,0.0
2019-06-18,sell,1.1543,1.1504,1.1555,1.1493,9853,EUUM0,353.0,1.14985,1.145,0.060961683,0.0294,0.0246,0.529911271,0.0
2019-06-25,sell,1.1713,1.1661,1.1718,1.165,10281,EUUM0,346.0,1.16635,1.16,0.062201904,0.0308,0.0246,0.538693194,0.0
2019-06-26,sell,1.1662,1.1662,1.1698,1.1654,7163,EUUM0,345.0,1.16605,1.16,0.061563077,0.0303,0.0244,0.537017909,0.0
2019-06-27,sell,1.1661,1.1667,1.1684,1.1651,6769,EUUM0,344.0,1.16615,1.16,0.06151384,0.0304,0.0243,0.537755592,0.0
2019-06-28,sell,1.1667,1.1672,1.1696,1.1652,6002,EUUM0,343.0,1.1667,1.16,0.062168755,0.0309,0.0243,0.540522298,0.0
2019-07-01,sell,1.1653,1.1579,1.1659,1.1575,6947,EUUM0,340.0,1.1578,1.15,0.060424999,0.0304,0.0227,0.547881762,0.0
2019-07-02,sell,1.1579,1.1586,1.1621,1.1577,5674,EUUM0,339.0,1.1582,1.155,0.059163345,0.0275,0.0243,0.521541493,0.0
2019-07-03,sell,1.1586,1.1578,1.1611,1.1567,5445,EUUM0,338.0,1.1571,1.15,0.058484825,0.0291,0.0221,0.545203459,0.0
2019-07-05,buy,1.1577,1.1522,1.1577,1.1503,4253,EUUM0,334.0,1.1516,1.15,0.058514111,0.026,0.0245,0.0,-0.470332517
2019-07-08,buy,1.1522,1.1507,1.1529,1.1502,2229,EUUM0,333.0,1.15055,1.15,0.057965841,0.0252,0.0247,0.0,-0.476895964
2019-07-09,buy,1.1505,1.15,1.1512,1.1487,2293,EUUM0,332.0,1.14995,1.15,0.058079185,0.0249,0.025,0.0,-0.480503096
2019-07-12,buy,1.1561,1.156,1.1564,1.1528,3600,EUUM0,329.0,1.1557,1.155,0.057800366,0.0252,0.0245,0.0,-0.476260348
2019-07-15,buy,1.1562,1.1547,1.1572,1.1542,2542,EUUM0,326.0,1.1544,1.15,0.057646673,0.0269,0.0225,0.0,-0.453376965
2019-07-16,buy,1.1547,1.15,1.1549,1.1489,3148,EUUM0,325.0,1.1491,1.145,0.05696068,0.0263,0.0222,0.0,-0.45486651
2019-07-18,buy,1.1523,1.1546,1.1565,1.1489,3721,EUUM0,323.0,1.1548,1.15,0.058073311,0.0271,0.0224,0.0,-0.451217338
2019-07-19,buy,1.1545,1.1504,1.1547,1.1486,3117,EUUM0,322.0,1.15005,1.15,0.058195224,0.0247,0.0246,0.0,-0.480584306
