,Date,Symbol,Days,Price,Strike,Vol,Call,Put,Call Delta,Put Delta,Fecha Posicion,Prediction,Open
2167,2018-11-05,WE1X8,2,1.14555,1.145,0.114911224,0.004,0.0034,0.525350898,0.0,2018-11-01,sell,1.1877
3342,2018-11-06,EUUX8,3,1.14485,1.145,0.121055893,0.0048,0.0049,0.497066157,0.0,2018-11-02,sell,1.1932
4394,2018-11-07,EUUX8,2,1.14905,1.15,0.096688149,0.0027,0.0036,0.452850307,0.0,2018-11-04,sell,1.1921
4394,2018-11-07,EUUX8,2,1.14905,1.15,0.096688149,0.0027,0.0036,0.452850307,0.0,2018-11-05,sell,1.1915
4394,2018-11-07,EUUX8,2,1.14905,1.15,0.096688149,0.0027,0.0036,0.452850307,0.0,2018-11-06,sell,1.1931
4394,2018-11-07,EUUX8,2,1.14905,1.15,0.096688149,0.0027,0.0036,0.452850307,0.0,2018-11-07,sell,1.1987
4394,2018-11-07,EUUX8,2,1.14905,1.15,0.096688149,0.0027,0.0036,0.452850307,0.0,2018-11-08,sell,1.1952
8738,2018-11-13,EU3X8,3,1.1298,1.13,0.113614087,0.0044,0.0046,0.494785575,0.0,2018-11-09,sell,1.1873
8738,2018-11-13,EU3X8,3,1.1298,1.13,0.113614087,0.0044,0.0046,0.494785575,0.0,2018-11-11,sell,1.1848
8738,2018-11-13,EU3X8,3,1.1298,1.13,0.113614087,0.0044,0.0046,0.494785575,0.0,2018-11-12,sell,1.1846
8738,2018-11-13,EU3X8,3,1.1298,1.13,0.113614087,0.0044,0.0046,0.494785575,0.0,2018-11-13,sell,1.1767
8738,2018-11-13,EU3X8,3,1.1298,1.13,0.113614087,0.0044,0.0046,0.494785575,0.0,2018-11-14,sell,1.1812
8738,2018-11-13,EU3X8,3,1.1298,1.13,0.113614087,0.0044,0.0046,0.494785575,0.0,2018-11-15,sell,1.1858
14092,2018-11-20,EU4X8,3,1.13905,1.14,0.087397265,0.003,0.0039,0.457247465,0.0,2018-11-16,sell,1.1854
14092,2018-11-20,EU4X8,3,1.13905,1.14,0.087397265,0.003,0.0039,0.457247465,0.0,2018-11-18,sell,1.1937
14092,2018-11-20,EU4X8,3,1.13905,1.14,0.087397265,0.003,0.0039,0.457247465,0.0,2018-11-19,sell,1.1916
14092,2018-11-20,EU4X8,3,1.13905,1.14,0.087397265,0.003,0.0039,0.457247465,0.0,2018-11-20,sell,1.1962
14092,2018-11-20,EU4X8,3,1.13905,1.14,0.087397265,0.003,0.0039,0.457247465,0.0,2018-11-21,sell,1.1893
17161,2018-11-26,WE4X8,2,1.1347,1.135,0.079771297,0.0024,0.0027,0.482223286,0.0,2018-11-22,sell,1.1909
17161,2018-11-26,WE4X8,2,1.1347,1.135,0.079771297,0.0024,0.0027,0.482223286,0.0,2018-11-23,sell,1.1926
19336,2018-11-28,EU5X8,2,1.1392,1.14,0.093286252,0.0026,0.0034,0.458398988,0.0,2018-11-25,sell,1.1849
19336,2018-11-28,EU5X8,2,1.1392,1.14,0.093286252,0.0026,0.0034,0.458398988,0.0,2018-11-26,sell,1.1858
19336,2018-11-28,EU5X8,2,1.1392,1.14,0.093286252,0.0026,0.0034,0.458398988,0.0,2018-11-27,sell,1.1848
19336,2018-11-28,EU5X8,2,1.1392,1.14,0.093286252,0.0026,0.0034,0.458398988,0.0,2018-11-28,sell,1.1807
22428,2018-12-03,WE1Z8,2,1.13545,1.135,0.074928102,0.0026,0.0022,0.531005126,0.0,2018-11-29,sell,1.1897
23568,2018-12-04,EUUZ8,3,1.1353,1.135,0.091710196,0.0038,0.0035,0.514621514,0.0,2018-11-30,sell,1.1899
24582,2018-12-05,EUUZ8,2,1.1351,1.135,0.089435443,0.0029,0.0028,0.506796431,0.0,2018-12-02,sell,1.1835
24582,2018-12-05,EUUZ8,2,1.1351,1.135,0.089435443,0.0029,0.0028,0.506796431,0.0,2018-12-03,sell,1.1856
24582,2018-12-05,EUUZ8,2,1.1351,1.135,0.089435443,0.0029,0.0028,0.506796431,0.0,2018-12-04,sell,1.1881
24582,2018-12-05,EUUZ8,2,1.1351,1.135,0.089435443,0.0029,0.0028,0.506796431,0.0,2018-12-05,sell,1.1832
